train_count,test_count,category,model,mae,rmse,r2
8000,2000,经典回归,RadiusNeighbors (r=2.0),0.5757013825041881,0.688673638210663,0.37242449370746156
8000,2000,经典回归,"ElasticNet (alpha=0.001,l1=0.1)",0.2963370160131035,0.37014981162033866,0.8187015326559706
8000,2000,经典回归,"ElasticNet (alpha=0.001,l1=0.2)",0.2963393118197812,0.3701492074431813,0.818702124504459
8000,2000,经典回归,"ElasticNet (alpha=0.001,l1=0.5)",0.29634620199340544,0.3701474020975848,0.8187038930049253
8000,2000,经典回归,"ElasticNet (alpha=0.0005,l1=0.1)",0.29629478022541633,0.3701612428933968,0.8186903344642003
8000,2000,经典回归,"ElasticNet (alpha=0.0005,l1=0.2)",0.29629590584376553,0.37016092889314145,0.8186906420666747
8000,2000,经典回归,"ElasticNet (alpha=0.0005,l1=0.5)",0.29629928337401557,0.3701599886750352,0.8186915631261997
8000,2000,经典回归,"Nystroem RBF(n=256,gamma=0.5) + Ridge",0.05800258143823148,0.11436423662152309,0.9826930898852049
8000,2000,经典回归,"Nystroem RBF(n=256,gamma=1.0) + Ridge",0.05683529459589175,0.11076914929441406,0.9837640872801376
8000,2000,经典回归,"Nystroem RBF(n=512,gamma=0.5) + Ridge",0.0580025815296008,0.11436423666455978,0.9826930898721793
8000,2000,经典回归,"Nystroem RBF(n=512,gamma=1.0) + Ridge",0.05683529450712716,0.11076914923610827,0.9837640872972299
8000,2000,经典回归,"Nystroem RBF(n=1024,gamma=0.5) + Ridge",0.05800258157464425,0.11436423651730832,0.9826930899167469
8000,2000,经典回归,"Nystroem RBF(n=1024,gamma=1.0) + Ridge",0.05683529451168708,0.1107691492812399,0.9837640872839996
8000,2000,经典回归,"SVR (sigmoid,C=0.5,gamma=0.001,eps=0.01)",0.2864767289920519,0.4021695962073967,0.7859784340027746
8000,2000,经典回归,"SVR (sigmoid,C=0.5,gamma=0.001,eps=0.05)",0.28612805617439196,0.4008049244086542,0.7874284374974472
8000,2000,经典回归,"SVR (sigmoid,C=0.5,gamma=0.005,eps=0.01)",0.2683710824685912,0.42701863853968125,0.758713662990476
8000,2000,经典回归,"SVR (sigmoid,C=0.5,gamma=0.005,eps=0.05)",0.2687707098916585,0.4210584316459184,0.7654022706819241
8000,2000,经典回归,"SVR (sigmoid,C=0.5,gamma=0.01,eps=0.01)",0.26901445962811693,0.435493555811439,0.7490411398202886
8000,2000,经典回归,"SVR (sigmoid,C=0.5,gamma=0.01,eps=0.05)",0.26911454204797297,0.4305773288609152,0.754675238242381
8000,2000,经典回归,"SVR (sigmoid,C=0.5,gamma=0.05,eps=0.01)",0.4256637928022051,1.0002062902477626,-0.3237873608510702
8000,2000,经典回归,"SVR (sigmoid,C=0.5,gamma=0.05,eps=0.05)",0.4260680537413407,0.9963855480090961,-0.313693063393496
8000,2000,经典回归,"SVR (sigmoid,C=1.0,gamma=0.001,eps=0.01)",0.27173369725968693,0.416393139578462,0.7705721166843332
8000,2000,经典回归,"SVR (sigmoid,C=1.0,gamma=0.001,eps=0.05)",0.2732215458584099,0.4075585076434254,0.7802044001409246
8000,2000,经典回归,"SVR (sigmoid,C=1.0,gamma=0.005,eps=0.01)",0.2681091810865487,0.4325495259862045,0.7524227422967606
8000,2000,经典回归,"SVR (sigmoid,C=1.0,gamma=0.005,eps=0.05)",0.26817926171325135,0.4281175123874775,0.7574702306131408
8000,2000,经典回归,"SVR (sigmoid,C=1.0,gamma=0.01,eps=0.01)",0.27019964483251613,0.44152838669471095,0.742037647919645
8000,2000,经典回归,"SVR (sigmoid,C=1.0,gamma=0.01,eps=0.05)",0.2702212017127576,0.4376121542322622,0.7465934603795727
8000,2000,经典回归,"SVR (sigmoid,C=1.0,gamma=0.05,eps=0.01)",0.6336464086581909,1.735685848991459,-2.986404025066027
8000,2000,经典回归,"SVR (sigmoid,C=1.0,gamma=0.05,eps=0.05)",0.6308954711462785,1.7161005363870594,-2.89694719874749
8000,2000,经典回归,"SVR (sigmoid,C=5.0,gamma=0.001,eps=0.01)",0.26782176113917616,0.4315338580167995,0.7535840477830111
8000,2000,经典回归,"SVR (sigmoid,C=5.0,gamma=0.001,eps=0.05)",0.2679035820227692,0.4269913032686137,0.7587445535218243
8000,2000,经典回归,"SVR (sigmoid,C=5.0,gamma=0.005,eps=0.01)",0.2693013911982258,0.4402635835212609,0.7435134501203252
8000,2000,经典回归,"SVR (sigmoid,C=5.0,gamma=0.005,eps=0.05)",0.26927924438196527,0.4370717056596478,0.7472189852105637
8000,2000,经典回归,"SVR (sigmoid,C=5.0,gamma=0.01,eps=0.01)",0.28023301679684837,0.4753895862167402,0.7009537263286381
8000,2000,经典回归,"SVR (sigmoid,C=5.0,gamma=0.01,eps=0.05)",0.2802213249994977,0.47243375487766115,0.7046609271796349
8000,2000,经典回归,"SVR (sigmoid,C=5.0,gamma=0.05,eps=0.01)",2.7772125043775957,7.518359203076134,-73.79717741933243
8000,2000,经典回归,"SVR (sigmoid,C=5.0,gamma=0.05,eps=0.05)",2.777118254345017,7.5195378286661985,-73.82063061572337
8000,2000,经典回归,"SVR (sigmoid,C=10.0,gamma=0.001,eps=0.01)",0.26776013588092223,0.4342943374462322,0.750421367384823
8000,2000,经典回归,"SVR (sigmoid,C=10.0,gamma=0.001,eps=0.05)",0.26777829464121106,0.43021470674915563,0.7550882777459818
8000,2000,经典回归,"SVR (sigmoid,C=10.0,gamma=0.005,eps=0.01)",0.2708638960853275,0.4453918863223494,0.7375034077090368
8000,2000,经典回归,"SVR (sigmoid,C=10.0,gamma=0.005,eps=0.05)",0.27084051035761625,0.442446530130849,0.7409636843667546
8000,2000,经典回归,"SVR (sigmoid,C=10.0,gamma=0.01,eps=0.01)",0.2929057426389604,0.5174679529025433,0.6456715821729693
8000,2000,经典回归,"SVR (sigmoid,C=10.0,gamma=0.01,eps=0.05)",0.2928671602577182,0.5145065231652336,0.649715566430792
8000,2000,经典回归,"SVR (sigmoid,C=10.0,gamma=0.05,eps=0.01)",5.456092469930529,14.573851077288904,-280.0526742771705
8000,2000,经典回归,"SVR (sigmoid,C=10.0,gamma=0.05,eps=0.05)",5.45592435451287,14.582115933201681,-280.37153557105654
